,State,State ABBR,Prescribing Rate,Year
182,New Hampshire,NH,81.5,2009
183,New Jersey,NJ,59.9,2009
184,New Mexico,NM,75.3,2009
185,New York,NY,49.5,2009
186,North Carolina,NC,89.3,2009
187,North Dakota,ND,60.3,2009
188,Ohio,OH,100.4,2009
189,Oklahoma,OK,115.0,2009
190,Oregon,OR,99.3,2009
191,Pennsylvania,PA,78.1,2009
192,Rhode Island,RI,82.5,2009
193,South Carolina,SC,95.8,2009
194,South Dakota,SD,52.3,2009
195,Tennessee,TN,138.4,2009
196,Texas,TX,71.8,2009
197,Utah,UT,86.9,2009
198,Vermont,VT,54.5,2009
199,Virginia,VA,74.1,2009
200,Washington,WA,86.1,2009
201,West Virginia,WV,146.9,2009
202,Wisconsin,WI,71.9,2009
203,Wyoming,WY,81.0,2009
204,Alabama,AL,134.3,2010
205,Alaska,AK,68.4,2010
206,Arizona,AZ,88.5,2010
207,Arkansas,AR,120.8,2010
208,California,CA,55.8,2010
209,Colorado,CO,72.0,2010
210,Connecticut,CT,68.6,2010
211,Delaware,DE,101.1,2010
212,District of Columbia,DC,37.1,2010
213,Florida,FL,87.6,2010
214,Georgia,GA,90.2,2010
215,Hawaii,HI,50.1,2010
216,Idaho,ID,88.6,2010
217,Illinois,IL,63.1,2010
218,Indiana,IN,107.1,2010
219,Iowa,IA,62.3,2010
220,Kansas,KS,86.1,2010
221,Kentucky,KY,136.5,2010
222,Louisiana,LA,112.6,2010
223,Maine,ME,92.8,2010
224,Maryland,MD,71.2,2010
225,Massachusetts,MA,67.9,2010
226,Michigan,MI,96.0,2010
227,Minnesota,MN,59.0,2010
228,Mississippi,MS,118.1,2010
229,Missouri,MO,91.0,2010
230,Montana,MT,87.2,2010
231,Nebraska,NE,69.0,2010
232,Nevada,NV,97.3,2010
233,New Hampshire,NH,81.6,2010
234,New Jersey,NJ,61.0,2010
235,New Mexico,NM,81.9,2010
236,New York,NY,51.0,2010
237,North Carolina,NC,93.1,2010
238,North Dakota,ND,63.0,2010
239,Ohio,OH,102.4,2010
240,Oklahoma,OK,119.6,2010
241,Oregon,OR,101.2,2010
242,Pennsylvania,PA,81.0,2010
243,Rhode Island,RI,82.7,2010
244,South Carolina,SC,98.6,2010
245,South Dakota,SD,54.0,2010
246,Tennessee,TN,140.0,2010
247,Texas,TX,73.0,2010
248,Utah,UT,86.6,2010
249,Vermont,VT,54.1,2010
250,Virginia,VA,75.5,2010
251,Washington,WA,85.0,2010
252,West Virginia,WV,143.1,2010
253,Wisconsin,WI,74.4,2010
254,Wyoming,WY,80.4,2010
255,Alabama,AL,136.6,2011
256,Alaska,AK,68.0,2011
257,Arizona,AZ,88.6,2011
258,Arkansas,AR,115.2,2011
259,California,CA,55.9,2011
260,Colorado,CO,73.0,2011
261,Connecticut,CT,69.1,2011
262,Delaware,DE,99.7,2011
263,District of Columbia,DC,39.8,2011
264,Florida,FL,83.5,2011
265,Georgia,GA,88.6,2011
266,Hawaii,HI,50.1,2011
267,Idaho,ID,91.4,2011
268,Illinois,IL,64.3,2011
